dataset,method,representation,classifier,seed,accuracy,n_features,encode_seconds,fit_seconds,predict_seconds,peak_mib,n_train,n_test,length,n_classes,error
Herring,ablation-gaf-intensity-only,gaf,logreg,2,0.59375,6,1.818535400001565,0.03354800000670366,0.004000499990070239,10.26519775390625,64,64,512,2,
Herring,ablation-gaf-texture-only,gaf,logreg,0,0.5,268,21.014366799994605,0.032631100009894,0.001713500008918345,25.577078819274902,64,64,512,2,
Herring,ablation-gaf-texture-only,gaf,logreg,1,0.5,268,20.787438900006237,0.030711300001712516,0.002210199978435412,25.576946258544922,64,64,512,2,
Herring,ablation-gaf-texture-only,gaf,logreg,2,0.5,268,20.5199909999792,0.028637000010348856,0.002863500005332753,25.576946258544922,64,64,512,2,
ItalyPowerDemand,baseline-1nn-euclidean,raw,knn1,0,0.9552964042759962,24,0.0011180000146850944,0.0029750999819952995,0.011728700017556548,0.47684478759765625,67,1029,24,2,
ItalyPowerDemand,baseline-1nn-euclidean,raw,knn1,1,0.9552964042759962,24,0.0006554000137839466,0.0025377999991178513,0.02427140000509098,0.47684478759765625,67,1029,24,2,
ItalyPowerDemand,baseline-1nn-euclidean,raw,knn1,2,0.9552964042759962,24,0.0008910000033210963,0.0026208999915979803,0.015543199988314882,0.47684478759765625,67,1029,24,2,
ItalyPowerDemand,baseline-raw-logreg,raw,logreg,0,0.9630709426627794,24,0.0008115999808069319,0.026746499992441386,0.0028575000178534538,0.47684478759765625,67,1029,24,2,
ItalyPowerDemand,baseline-raw-logreg,raw,logreg,1,0.9630709426627794,24,0.0006762999983038753,0.024408400000538677,0.002725900005316362,0.47684478759765625,67,1029,24,2,
ItalyPowerDemand,baseline-raw-logreg,raw,logreg,2,0.9630709426627794,24,0.0008875000057742,0.058124200004385784,0.007108899997547269,0.47684478759765625,67,1029,24,2,
ItalyPowerDemand,gasf-features,gaf,logreg,0,0.7988338192419825,662,21.611569200002123,0.0314827999973204,0.011793899990152568,11.174114227294922,67,1029,24,2,
